xxxx;;;;;;;;;;;;;;x
YES;拥有;Oui;Ja;;S?;;;;;;;;x,
DONT_HAVE_THE_PROVICEN_MODIFIER;有省份修正效果：;N'ont PAS le modificateur de province;Nichtverf黦ung 黚er den Provinzmodifikator;;NO tiene el modificador de provincia ;;;;;;;;;x
HAVE_THE_PROVINCE_MODIFIER;没有省份修正效果：;Ont le modificateur de province ;Verf黦ung 黚er den Provinzmodifikator;;Tiene el modificador de provincia ;;;;;;;;;x
HAVE_A_PORT_IN;在下列地区有港口：;disposent d'un port ?Hat einen Hafen in;;Tiene un puerto en ;;;;;;;;;x
HAVE_NOT_A_PORT_IN;在下列地区没有港口：;ne disposent PAS d'un port ?Hat keinen Hafen in;;NO?tiene un puerto en ;;;;;;;;;x
HAVE_COUNTRY_FLAG;拥有国家变量：;Ont un drapeau national;Nationalflagge haben;;Tiene la bandera nacional ;;;;;;;;;x
HAVE_NOT_COUNTRY_FLAG;没有国家变量：;N'ont PAS le drapeau national;Keine Nationalflagge haben;;NO tiene la bandera nacional ;;;;;;;;;x
HAVE_PROVINCE_FLAG;有省份变量：;Ont un drapeau provincial;Provinzflagge haben;;Tiene la bandera de la provincia ;;;;;;;;;x
HAVE_NOT_PROVINCE_FLAG;没有省份变量：;N'ont pas le drapeau provincial;Keine Provinzflagge haben;;NO tiene la bandera de la provincia ;;;;;;;;;x
IS_NOT_ON_THE_CONTINET;不在大陆上 ;N'est PAS sur le continent;Befindet sich nicht auf dem Kontinent;; NO est?en el continente ;;;;;;;;;x
IS_ON_THE_CONTINET;在大陆上 ;Est sur le continent;Befindet sich auf dem Kontinent;; est?en el continente ;;;;;;;;;x
DONT_HAVE_A_X_INY;在$Y$没有$X$;N'ont PAS de $X$ dans $Y$;Kein $X$ in $Y$ haben;;No tiene un(a) $X$ en $Y$;;;;;;;;;x
HAVE_A_X_INY;在$Y$有$X$;Ont un(e) $X$ dans $Y$;Ein $X$ in $Y$ haben;;Tiene un(a) $X$ en $Y$;;;;;;;;;x
PURE_REVOLT_RISK_LOWER_THAN;基础反叛风险低于 ;Risque de r関olte de base inf閞ieure ?Grund-Revoltenrisiko geringer als;;Riesgo de levantamiento b醩ico inferior a ;;;;;;;;;x
PURE_REVOLT_RISK_HIGHER_THAN;基础反叛风险至少 ;Le risque de r関olte de base est au moins de;Grund-Revoltenrisiko gr鲞er als;;Riesgo de levantamiento b醩ico de al menos ;;;;;;;;;x
REVOLT_RISK_LOWER_THAN;反叛风险低于 ;Risque de r関olte inf閞ieur ?Revoltenrisiko geringer als;;Riesgo de levantamiento inferior a ;;;;;;;;;x
REVOLT_RISK_HIGHER_THAN;反叛风险至少 ;Risque de r関olte d'au moins;Revoltenrisiko gr鲞er als;;Riesgo de levantamiento de al menos ;;;;;;;;;x
IS_NOT_NEIGHBOUR_WITH;没有邻接 ;N'est pas limitrophe de;Ist kein Nachbar von;;NO es adyacente ;;;;;;;;;x
IS_NEIGHBOUR_WITH;有邻接 ;Est limitrophe de;Ist Nachbar von;;Vecinos ;;;;;;;;;x
HAVE_LESS_UNITS_IN_THAN;在$PROVINCE$的部队少于 ;Ont, dans la province $PROVINCE$, un nombre d'unit閟 inf閞ieur ?Weniger Einheiten in $PROVINCE$ haben als;;Tiene menos unidades en $PROVINCE$ que ;;;;;;;;;x
HAVE_MORE_UNITS_IN_THAN;在$PROVINCE$的部队至少为;Ont, dans la province $PROVINCE$, un nombre d'unit閟 d'au moins;Mehr Einheiten in $PROVINCE$ haben als;;Unidades en $PROVINCE$ al menos ;;;;;;;;;x
HAVE_MORE_THAN_INFANTRY_IN;在$PROVINCE$的步兵数至少为;Ont au moins $UNITS$ unit閟 d'infanterie dans la province $Province$;Verf黦ung 黚er mehr als $UNITS$ Infanterie in $Province$;;Tiene al menos $UNITS$ de infanter韆 en $Province$;;;;;;;;;x
HAVE_LESS_THAN_INFANTRY_IN;在$PROVINCE$的步兵数少于;Ont moins de $UNITS$ unit閟 d'infanterie dans la province $Province$;Verf黦ung 黚er weniger als $UNITS$ Infanterie in $Province$;;Tiene menos $UNITS$ de infanter韆 en $Province$;;;;;;;;;x
IS_AT_PEACE_WITH;与如下国家保持和平;Est en paix avec ;Ist im Frieden mit;;Est?en paz con ;;;;;;;;;x
IS_AT_WAR_WITH;与如下国家开战;Est en guerre contre;Ist im Krieg mit;;Est?en guerra con ;;;;;;;;;x
HAS_NO_TRUCE_WITH;与如下国家未休战 ;N'observe PAS de tr陃e avec ;Hat keine Waffenruhe mit ;;No tiene tregua con ;;;;;;;;;x
HAS_TRUCE_WITH;与如下国家休战 ;Ont une tr陃e avec;Hat Waffenruhe mit ;;Tiene tregua con ;;;;;;;;;x
HAVE_NO_UNITS_IN_BATTLE;没有战斗中的部队;N'ont pas d'unit閟 au combat;Keine Einheiten in der Schlacht haben;;No tiene unidades en combate;;;;;;;;;x
HAVE_UNITS_IN_BATTLE;有战斗中的部队;Ont des unit閟 au combat;Einheiten in der Schlacht haben;;Tiene unidades en combate;;;;;;;;;x
HAVE_A_UNITS_WITH_A_LEADER;有指挥官率领的军队;Ont une unit?avec un leader;Einheit mit einem Anf黨rer haben;;Tiene una unidad con un l韉er;;;;;;;;;x
HAVE_NO_UNITS_WITH_A_LEADER;没有指挥官率领的军队;N'ont pas d'unit?avec un leader;Keine Einheit mit einem Anf黨rer haben;;No tiene unidades con l韉er;;;;;;;;;x
HAVE_A_NAVY_SMALLER_THAN;海军舰船少于 ;Ont une flotte plus petite que ;Kleinere Marine haben als;;Tiene una armada menor que ;;;;;;;;;x
HAVE_A_NAVY_LARGER_THAN;所有海军舰船至少为 ;La taille totale de la flotte est d'au moins;Gr鲞ere Marine haben als;;Tama駉 total de la armada al menos ;;;;;;;;;x
HAVE_A_ARMY_SMALLER_THAN;陆军少于 ;Ont une arm閑 plus petite que;Kleinere Armee haben als;;Tiene un ej閞cito menor que ;;;;;;;;;x
HAVE_A_ARMY_LARGER_THAN;所有陆军至少为 ;La taille totale de l'arm閑 est d'au moins;Gr鲞ere Armee haben als;;Tama駉 total del ej閞cito al menos ;;;;;;;;;x
HAVE_A_PERCENTAGE_OF_OVERSEAS_PROVINCE_LARGER_THAN;海外省份百分比至少为 ;Le pourcentage de provinces outremer est d'au moins;Gr鲞eren Prozentsatz an 躡erseeprovinzen haben als;;Porcentaje de provincias de ultramar al menos ;;;;;;;;;x
HAVE_A_PERCENTAGE_OF_OVERSEAS_PROVINCE_SMALLER_THAN;海外省份百分比少于 ;Le pourcentage de provinces outremer est inf閞ieur ?Geringeren Prozentsatz an 躡erseeprovinzen haben als;;Porcentaje de provincias de ultramar menor que ;;;;;;;;;x
HAVE_NOT_THE_LEADER;没有将领 ;N'ont PAS de leader;Nichtverf黦ung 黚er den Anf黨rer;;NO tiene al l韉er ;;;;;;;;;x
HAVE_THE_LEADER;有将领 ;Ont un leader;Verf黦ung 黚er den Anf黨rer;;Tiene al l韉er ;;;;;;;;;x
HAVE_N0T_ALLIANCE_WITH;没有与下列国家结盟 ;Ne sont pas alli閟 ?Kein B黱dnis haben mit;;No est?aliado con ;;;;;;;;;x
HAVE_ALLIANCE_WITH;与下列国家结盟 ;Sont alli閟 avec;B黱dnis haben mit;;Aliado con ;;;;;;;;;x
PROVINCE_IS_NOT;省份ID不是 ;L'identification de la province n'est PAS;Provinz ist nicht;;La ID de la provinvia NO?es ;;;;;;;;;x
PROVINCE_IS;省份ID是 ;L'identification de la province est;Provinz ist;;La ID de la provincia es ;;;;;;;;;x
LESS_THAN;少于;moins de; geringer als;; menor que;;;;;;;;;x
GREATER_THAN;至少;au moins; gr鲞er als;; al menos;;;;;;;;;x
HAVE_MORE_MANPOWER_THEN_MAXIMUM;最大人力至少为;Disposent plus de main-d'渦vre que le maximum;Gr鲞ere Mannst鋜ke haben als maximal;;Tiene al menos unos recursos humanos m醲imos;;;;;;;;;x
HAVE_LESS_MANPOWER_THEN_MAXIMUM;最大人力少于;Ont moins de main-d'渦vre que le maximum;Geringere Mannst鋜ke haben als maximal;;Tiene menos que el m醲imo de recursos humanos;;;;;;;;;x
HAVE_LESS_BADBOY_THAN;“好战度”少于 ;"Ont un nombre de ""voyous"" inf閞ieur ?;Geringeren Aggressionswert haben als ;;"Tiene menos ""tipo malo"" que ";;;;;;;;;x
HAVE_MORE_BADBOY_THAN;“好战度”至少为 ;"Ont un nombre de ""voyous"" au moins 間al ?;Gr鲞eren Aggressionswert haben als ;;"Tiene ""tipo malo"" de al menos ";;;;;;;;;x
THE_NUMBER_OF_REVOLT_FRACTION_IS_MORE_THAN;反叛中省份数量至少为 ;Le nombre de provinces se r関oltant est d'au moins;Die Revoltenanteil ist gr鲞er als;;N鷐ero de provincias rebeldes de al menos ;;;;;;;;;x
THE_NUMBER_OF_REVOLT_FRACTION_IS_LESS_THAN;反叛中省份数量少于 ;Nombre de provinces se r関oltant inf閞ieur ?Die Revoltenanteil ist geringer als;;Menos provincias rebeldes que ;;;;;;;;;x
TECHNOLOGY_LOWER_THAN;低于 ; inf閞ieur(e) ? geringer als ;; menor que ;;;;;;;;;x
TECHNOLOGY_HIGHER_THAN;至少为 ;au moins; h鰄er als ;; al menos ;;;;;;;;;x
HAVE_NOT_ANY_NEIGHBOR;没有邻近省份;N'ont pas de voisins;Keine Nachbarn haben;;No tiene vecinos;;;;;;;;;x
HAVE_ANY_NEIGHBOR;有至少一个邻近省份;Ont au moins un voisin;Nachbarn haben;;Tiene al menos un vecino;;;;;;;;;x
HAVE_NOT_CASUS_BELLI_AGAINST;对下列国家没有领土要求 ;Ne revendiquent PAS;Keinen Kriegsgrund haben gegen;;No tiene reivindicaciones contra ;;;;;;;;;x
HAVE_CASUS_BELLI_AGAINST;对下列国家有领土要求 ;Revendiquent;Kriegsgrund haben gegen;;Tiene reivindicaciones contra ;;;;;;;;;x
IS_NOT_AI;不为AI;N'est pas contr鬺?par l'IA;Ist nicht KI;;NO?es de la IA;;;;;;;;;x
IS_AI;为AI;Est contr鬺?par l'IA;Ist KI;;Es de la IA;;;;;;;;;x
THEN_NUMBER_OF_REVOLTS_ARE_LESS_THAN;不满省份数量少于;Le nombre de provinces rebelles est inf閞ieur ?Revoltenanzahl geringer als;;Menos provincias rebeldes que ;;;;;;;;;x
THEN_NUMBER_OF_REVOLTS_ARE_MORE_THAN;不满省份数量至少为;Le nombre de provinces rebelles est d'au moins;Revoltenanzahl gr鲞er als;;N鷐ero de provincias rebeldes de al menos ;;;;;;;;;x
OR_TRIGGER_STARTS;符合下列条件之一;L'un des 閘閙ents suivants doit 阾re vrai;Einer folgenden Punkte muss zutreffen;;Uno de los siguientes debe de ser la verdad;;;;;;;;;x
NEIGHBOR_COUNTRY_STARTS;邻国;Pays voisin;Nachbarland startet;;Pa韘 vecino;;;;;;;;;x
TRIGGER_NUM;范围序号;Num d閏lencheur;Ausl鰏erzahl;;N鷐. de alcance;;;;;;;;;x
TRIGGER_ALLY;任何盟友;Tout alli?Beliebiger B黱dnispartner;;Cualquier aliado;;;;;;;;;x
TRIGGER_OWNER;省份所有者;Propri閠aire de la province;Provinzeigent黰er;;Propietario de la provincia;;;;;;;;;x
TRIGGER_CONTROLLER;省份控制者;Contr鬺eur de la province;Provinzkontrolleur;;Controlador de la provincia;;;;;;;;;x
TRIGGER_CAPITAL;首都;Capitale;Hauptstadt;;Capital;;;;;;;;;x
TRIGGER_SEA_ZONE;外海;Zone maritime ext閞ieure;Seezone au遝rhalb;;Zona mar韙ima exterior;;;;;;;;;x
TRIGGER_THIS;这;Cet(te);Dies;;Esto;;;;;;;;;x
TRIGGER_FROM;从;De;Von;;De;;;;;;;;;x,,,
TRIGGER_LOCAL_ENEMY;本地敌军;Ennemi local;Lokaler Feind;;Enemigo local;;;;;;;;;x,,,
CONFIRMBUILDTEXTLEDGER;您确定在要在$PROVINCE$修建$BUILDING$吗？;Voulez-vous vraiment construire $BUILDING$ dans la province $PROVINCE$ ?;M鯿hten Sie wirklich $BUILDING$ in $PROVINCE$ bauen?;;縎eguro que quieres construir un(a) $BUILDING$ en $PROVINCE$?;;;;;;;;;x,,,
CORE_IS_REVOLTER_CAPITAL;这是这个国家的潜在首都。;C'est la capitale potentielle de cette nation.;Dies ist die potentielle Hauptstadt dieser Nation.;;蓅ta es la capital potencial de esta naci髇.;;;;;;;;;x,,,
REVOLTRISK_EFFECT;在$WHERE$的游击度为$DIRECTION$ $VALUE$.\n;$DIRECTION$ $VALUE$ risque de r関olte ?$WHERE$.\n;$DIRECTION$ $VALUE$ Revoltenrisiko in $WHERE$.\n;;$DIRECTION$ $VALUE$ riesgo de levantamiento en $WHERE$.\n;;;;;;;;;x,,,
LEDGER_CANT_BUILD_THIS_TECH;你现在的科技等级不足以允许你建造这个建筑;Votre niveau actuel en technologie ne vous permet pas de construire ce b鈚iment;Ihre momentane Technologiestufe erlaubt Ihnen noch nicht den Bau dieses Geb鋟des;;Tu actual nivel tecnol骻ico no te permite la construcci髇 de este edificio;;;;;;;;;x ,,,
LEDGER_CANT_BUILD_THIS_FULL;已在所有省份建成;D閖?construit par toutes les provinces;Schon in allen Provinzen gebaut;;Ya se ha construido en todas las provincias;;;;;;;;;x ,,,
LEDGER_OVERALL;全部;Tout;Alles;;General;;;;;;;;;x,,,
FROM_TECHNOLOGY;科技加成;?partir de la technologie;Von Technologie;;De tecnolog韆;;;;;;;;;x,,,
THEYGUARANT;他们保证了我们的独立，因此我们不能保证他们的独立。;Ils sont garants de notre ind閜endance, nous ne pouvons donc pas garantir la leur.;Sie garantieren unsere Unabh鋘gigkeit. Wir k鰊nen deshalb nicht ihre Unabh鋘gigkeit garantieren.;;Garantizan nuestra independencia, por lo que no podemos garantizar la suya.;;;;;;;;;x,
THEYWARN;他们警告了我们，因此我们不能警告他们。;Ils nous ont d閖?averti, nous ne pouvons donc pas faire de m阭e.;Sie haben uns gewarnt, und wir k鰊nen sie deshalb nicht warnen.;;No est醤 advirtiendo, por lo que no podemos advertirles a ellos.;;;;;;;;;x
WCRD_GUA;我们保证他们的独立。;Nous avons garanti leur ind閜endance.;Wir haben ihre Unabh鋘gigkeit garantiert.;;Hemos garantizado su independencia.;;;;;;;;;x,,,
WCRD_WARNING;我们已经警告$WHO$这应该是他们最后的领土要求。;Nous avons averti $WHO$ que ce serait leur derni鑢e revendication territoriale.;Wir haben $WHO$ gewarnt, keinen Krieg zu beginnen.;;Hemos advertido a $WHO$ que 閟ta deber韆 ser su 鷏tima exigencia territorial.;;;;;;;;;x,,,
VARIABLE;变量 ;Variable;Variable ;;Variable ;;;;;;;;;x,,,
IS_GREATER_THAN;大于 ;est sup閞ieur ? ist gr鲞er als ;; es mayor que ;;;;;;;;;x,,,
IS_EQUAL_OR_LESS_THAN;等于或少于 ;est inf閞ieur ou 間al ? ist gleich gro?oder geringer als ;; es igual o inferior que ;;;;;;;;;x,,,
IS_NOT_OVERSEAS;不属于海外;n'est pas outremer; ist nicht in 躡ersee;; no es de ultramar;;;;;;;;;x
IS_OVERSEAS;属于海外;est outremer; ist in 躡ersee;; es de ultramar;;;;;;;;;x
RANDOM_EFFECT;有$CHANCE$%的几率;$CHANCE$% de chances de;$CHANCE$% Chance auf \n;;$CHANCE$% probabilidades de ;;;;;;;;;x
RANDOM_LIST_EFFECT;会发生$SIZE$选项中的一种。\n;L'une des options $SIZE$ prendra effet.\n;eine von $SIZE$ Optionen wird eintreten.\n;;Se producir?una de las opciones de $SIZE$.\n;;;;;;;;;x
ANY_PROVINCE_STARTS;任何拥有的省份;Toute province d閠enue;Jede Provinz in Besitz;;Cualquier provincia en propiedad;;;;;;;;;x
EFFECT_AND;和;卐t;卽nd;;... y;;;;;;;;;x
EFFECT_MORE;更多。;davantage.;mehr.;;M醩;;;;;;;;;x
OUR_RULER;我们的统治者;Notre dirigeant;Unser Herrscher;;Nuestro gobernante;;;;;;;;;x
THEIR_RULER;他们的统治者;Leur dirigeant;Ihr Herrscher;;Su gobernante;;;;;;;;;x
OCCUPIED_PROVINCES;占领的省份;Provinces occup閑s;Besetzte Provinzen;;Provincias ocupadas;;;;;;;;;x
CREATE_REBELS;$SIZE$ $TYPE$团在$WHERE$发动了叛乱。\n;$SIZE$ r間iment(s) $TYPE$  se r関oltent ?$WHERE$.\n;$SIZE$ $TYPE$ Regiment(er) erheben sich in $WHERE$.\n;;$SIZE$ regimiento(s) de $TYPE$ se rebelan en $WHERE$.\n;;;;;;;;;x
NATIONALISM_LOWER_THAN;民族主义低于 ;Nationalisme inf閞ieur ?Nationalismus geringer als;;Nacionalismo inferior a ;;;;;;;;;x
NATIONALISM_HIGHER_THAN;民族主义高于 ;Nationalisme sup閞ieur ?Nationalismus h鰄er als;;Nacionalismo superior a ;;;;;;;;;x
KNOWN_COUNTRY_STARTS;已知的国家;Pays connu;Bekanntes Land;;Pa韘 conocido;;;;;;;;;x
EXTRA_NATIONALISM_DESC;在$WHERE$，$DIRECTION$$VALUE$年的民族主义。\n;$DIRECTION$ $VALUE$ ann閑s de nationalisme ?$WHERE$.\n;$DIRECTION$ $VALUE$ Jahre des Nationalismus in $WHERE$.\n;;$DIRECTION$ $VALUE$ a駉s de nacionalismo en $WHERE$.\n;;;;;;;;;x
HAVE_DIPLOMATIC_RELATION;与下列国家有外交关系;entretient une relation de;Hat eine Beziehung von weniger als;;tiene una relaci髇 de;;;;;;;;;x
WITHL;和;avec;mit;;con;;;;;;;;;x
WITHG;或更大的;ou sup閞ieur ?oder mehr mit;;o mayor con;;;;;;;;;x
IS_NOT_IN_THE_REGION;不在该区域;N'est PAS dans la r間ion;Ist NICHT in der Region;;NO?est?en la regi髇 ;;;;;;;;;x
IS_IN_REGION;在该区域;Est dans la r間ion;Ist in der Region;;Est?en la regi髇;;;;;;;;;x
NOT_OWNED_BY;不属于 ;n'est PAS d閠enue par;Ist NICHT im Besitz von;;NO?es propiedad de ;;;;;;;;;x
OWNED_BY;属于 ;est d閠enue par;Ist kein Eigentum von;;Es propiedad de ;;;;;;;;;x
NOT_CONTROLLED_BY;不被下列国家控制 ;n'est PAS contr鬺閑 par;Wird NICHT kontrolliert von;;NO est?controlada por ;;;;;;;;;x
CONTROLLED_BY;被下列国家控制 ;Est contr鬺閑 par;Wird kontrolliert von;;Est?controlada por ;;;;;;;;;x
RIVALSWITH;视$LIST$为天然竞争对手。;Affiche $LIST$ comme 閠ant des rivaux naturels.;Sieht $LIST$ als nat黵liche Rivalen an.;;Ve a $LIST$ como rivales naturales.;;;;;;;;;x
THREATENEDBY;感到了$LIST$的威胁。;Se sent menac?par $LIST$.;F黨lt sich bedroht von $LIST$.;;Se siente amenazada por $LIST$.;;;;;;;;;x
HAVE_NO_UNITS_IN;$COUNTRY$在$PROVINCE$没有部队。;$COUNTRY$ n'a AUCUNE unit?dans la province $PROVINCE$.;$COUNTRY$ haben KEINE Einheiten in $PROVINCE$.;;$COUNTRY$ NO tiene unidades en $PROVINCE$.;;;;;;;;;x
HAVE_UNITS_IN;$COUNTRY$在$PROVINCE$有部队。;$COUNTRY$ a des unit閟 dans la province $PROVINCE$.;$COUNTRY$ haben Einheiten in $PROVINCE$.;;$COUNTRY$ tiene unidades en $PROVINCE$.;;;;;;;;;x
NEIGHBOR_PROVINCE_STARTS;任何邻近省份;Toute province voisine;Jede benachbarte Provinz;;Cualquier provincia adyacente;;;;;;;;;x
AT_LEAST;至少;Au moins;Zumindest;;Al menos;;;;;;;;;x
IMMEDIATEEFFECT;立即产生如下效果：\n;Effet imm閐iat : \n;Sofortiger Effekt: \n;;Efecto inmediato: \n;;;;;;;;;x
IS_SUBJECT;是一个附庸国;Est une nation inf閛d閑;Ist eine untergebene Nation;;Es una naci髇 vasalla;;;;;;;;;x
IS_NOT_SUBJECT;不是一个附庸国;N'est pas une nation inf閛d閑;Ist keine untergebene Nation;;No es una naci髇 vasalla;;;;;;;;;x,,
DEFINE_RULER_EFFECT;$NAME$成为统治者。\n;$NAME$ devient dirigeant.\n;$NAME$ wird Herrscher.\n;;$NAME$ sube al poder.\n;;;;;;;;;x,,
friendly_regiments;友方部队;Troupes amies;Freundliche Truppen;;Tropas amigas;;;;;;;;;x,,
ANY_ALL;任何/所有;Un(e)/tou(te)s;Alle;;Cualquiera/Todos;;;;;;;;;x,,
CANT_SEE_UNDER_FOW;没有更加深入本地区前不可能确定。;Ceci est impossible ?d閠erminer sans un acc鑣 plus approfondi ?la zone.;Das ist unm鰃lich festzustellen, ohne weiteren Zugang zu dieser Region zu haben.;;No se puede determinar sin un mayor acceso a la zona.;;;;;;;;;x,
VASSAL_TIMER;这在在$DATE$前不可能提供。;Il est toutefois impossible de proposer ceci avant $DATE$.;Es ist allerdings nicht m鰃lich, dies vor $DATE$ anzubieten.;;Aunque no se puede ofrecer antes de $DATE$.;;;;;;;;;x,
INDEF;结束;Fin de;Ende von;;Fin de;;;;;;;;;x,,
MISS_DIST_CAPITAL;与首都的距离;Distance de la capitale;Distanz zur Hauptstadt;;Distancia desde la capital;;;;;;;;;x,,
FE_NUM_PLAYERS;玩家数量: $NUM$;Nombre de joueurs : $NUM$;Spieleranzahl: $NUM$;;N鷐ero de jugadores: $NUM$;;;;;;;;;x,,
IS_NOT_COUNTRY_CORE;不是$COUNTRYADJ$核心;N'est pas un $COUNTRYADJ$ principal;Ist KEINE $COUNTRYADJ$ Kernprovinz;;NO es un n鷆leo de $COUNTRYADJ$;;;;;;;;;x,,
IS_COUNTRY_CORE;是$COUNTRYADJ$核心;est un $COUNTRYADJ$ principal;Ist eine $COUNTRYADJ$ Kernprovinz;;Es un n鷆leo de $COUNTRYADJ$;;;;;;;;;x,,
ITS_OWNER;它的所有者;son propri閠aire;sein Besitzer;;su propietario;;;;;;;;;x,,
NOT_POSSIBLE_CAUSE;此处由于以下条件不足导致不可行。;Impossible parce que les 閘閙ents suivants sont faux.;Nicht m鰃lich, da Folgendes nicht zutrifft.;;No es poible porque lo siguiente no es verdad.;;;;;;;;;x,
ALLOWED_CAUSE;此处由于以下条件导致可行。;Possible pour les raisons suivantes?Hier m鰃lich, aufgrund von:;;Aqu?es posible debido a lo siguiente...;;;;;;;;;x
HAVE_MORE_MONEY_THAN;月收入至少 ;Revenu mensuel d'au moins;Monatliches Einkommen mindestens;;Ingresos mensuales de al menos ;;;;;;;;;x,,
HAVE_LESS_MONEY_THAN;月收入少于 ;Revenu mensuel inf閞ieur ?Monatliches Einkommen weniger als;;Ingresos mensuales inferiores a ;;;;;;;;;x,,
TRIG_IS;是;est;ist;;es;;;;;;;;;x,
TRIG_ISNOT;不是;n'est pas;ist nicht;;no?es;;;;;;;;;x,
OPTIONS;选项;OPTIONS;OPTIONEN;;OPTIONS;;;;;;;;;x,
Options;选项;Options;Optionen;;Options;;;;;;;;;x,
Rulers;统治者;Dirigeants;Herrscher;;Rulers;;;;;;;;;x,
War Exhaustion;厌战度;蓀uisement de guerre;Kriegsm黡igkeit;;War Exhaustion;;;;;;;;;x,
War Capacity;战争能力;Capacit?militaire;Kriegskapazit鋞;;War Capacity;;;;;;;;;x,
Battles;战斗;Batailles;Schlachten;;Battles;;;;;;;;;x,
CANT_NEGOTIATE_UNTIL;我们不能与反叛武装进行谈判，直到;Nous ne pouvons pas entreprendre de nouvelles n間ociations avec les rebelles avant;Wir k鰊nen mit den Rebellen nicht mehr verhandeln bis;;No podremos volver a negociar con lor rebeldes hasta;;;;;;;;;x,
WONT_NEGOTIATE;除非满足下列各项否则不能与他们进行谈判：;Ils ne n間ocieront pas ?moins que les 閘閙ents suivants soient vrais :;Sie werden nicht mit uns verhandeln, bis folgendes zutrifft:;;No negociar醤 a menos que lo siguiente sea verdad:;;;;;;;;;x
ALWAYS_FALSE;绝不;Jamais;Niemals;;Nunca;;;;;;;;;x,
ALWAYS_TRUE;总是;Toujours;Immer;;Siempre;;;;;;;;;x,
REMOVE_FOW;$COUNTRY$的战争迷雾将会消散$MONTHS$个月。;蒷iminer le brouillard de guerre du pays $COUNTRY$ pendant $MONTHS$ mois.;Kriegsnebel von $COUNTRY$ f黵 $MONTHS$ Monate aufheben.;;Levantar niebla de guerra de $COUNTRY$ durante $MONTHS$ meses.;;;;;;;;;x,
IS_NOT_CAPITAL;不是首都省份;n'est pas une province capitale; ist keine Hauptstadtprovinz;; No es una provincia capital;;;;;;;;;x,
IS_CAPITAL;是首都省份;est une province capitale; ist eine Hauptstadtprovinz;; Es una provincia capital;;;;;;;;;x,
WAR_EXHUASTION_LABEL;厌战度;蓀uisement de guerre;Kriegsm黡igkeit;;War Exhaustion;;;;;;;;;x,
WE_MODIFIED_BY;每个月修正为;Ceci est modifi?chaque mois.;Wird jeden Monat modifiziert um.;;Se modifica cada mes por;;;;;;;;;x,,,
WARE_EFFECTS;厌战度产生了以下影响：;Actuellement, l'閜uisement de guerre a ces effets.;Kriegsm黡igkeit hat derzeit folgende Effekte:;;El agotamiento b閘ico tiene los siguientes efectos.;;;;;;;;;x,,,
FOW_IS_NOT_LIFTED;战争迷雾重新出现;Le brouillard de guerre n'est pas 閘imin?Der Kriegsnebel ist nicht aufgehoben;;La niebla de guerra no se levanta;;;;;;;;;x,,,
FOW_IS_LIFTED;战争迷雾消散了;Le brouillard de guerre est 閘imin?Der Kriegsnebel ist aufgehoben;;La niebla de guerra se levanta;;;;;;;;;x,,,
HAVE_GLOBAL_FLAG;有全球旗帜 ;Disposent du drapeau mondial;Hat die globale Flagge;;Tiene la bandera global ;;;;;;;;;x,,,
HAVE_NOT_GLOBAL_FLAG;没有全球旗帜 ;Ne disposent PAS du drapeau mondial;Hat NICHT die globale Flagge;;NO tiene la bandera global ;;;;;;;;;x,,,
ANY_CORE_STARTS;任何核心国家;Tout pays principal;Jede Kern-Nation;;Cualquier pa韘 n鷆leo;;;;;;;;;x,,,
LIKELY_REBELS;可能反叛;Probablement rebelles;Wahrscheinliche Rebellen;;Probablemente rebeldes;;;;;;;;;x,,,
PROFIT_GAIN;获得;gain;Gewinn;;ganancia RDO;;;;;;;;;x,,,
PROFIT_LOSS;失去;perte;Verlust;;"p閞dida; damnificaci髇; baja; da駉";;;;;;;;;x,,,
REINFORCE_INFO_TEXT;当国家人力充足时，军队每月可以在本地补充$VALUE$人。这个省份的本地增援率为$LOCAL$%，外在我们还可以从国家层面获得+$COUNTRY$%的加成。;S'il y a suffisamment de main-d'渦vre dans le pays, cette arm閑 b閚閒iciera de $VALUE$ hommes en renfort chaque mois ?cet endroit. Le taux de renforts local de cette province est de  $LOCAL$% et nous b閚閒icions d'un bonus de +$COUNTRY$% gr鈉;Mit genug Rekruten im Land wird diese Armee mit $VALUE$ M鋘nern pro Monat in diesem Gebiet verst鋜kt werden. Die lokale Verst鋜kungsrate in dieser Provinz ist $LOCAL$%, und wir bekommen einen Bonus von  +$COUNTRY$% von den Werten unserer Nation.;;Si hay suficiente mano de obra en el pa韘, este ej閞cito se reforzar?con $VALUE$ hombres cada mes en esta ubicaci髇. La tasa de refuerzos locales es de $LOCAL$% en esta provincia, y obtenemos una bonificaci髇 de +$COUNTRY$% por los valores de nuestra naci髇.;;;;;;;;;x
THE_MONTH_IS_BEFORE;在下列时间之前 ;Ceci est ant閞ieur;Es ist vor;;Es antes ;;;;;;;;;x,,,
THE_MONTH_IS_AFTER;在下列时间之后 ;C'est au moins;Es ist zumindest;;Es de al menos ;;;;;;;;;x,,,
DM_MAX;最多;Avec un maximum de;Mit Maximum;;Con un m醲imo;;;;;;;;;x,,,
any_owned_province;任何拥有的省份;Toute province d閠enue;Jede Provinz im Besitz;;Cualquier provincia en propiedad;;;;;;;;;x,,,
WEWAR;我们处于战争;Nous sommes en guerre;Wir sind im Krieg;Jeste渕y w stanie wojny;Estamos en guerra.;Siamo in guerra;H醔or鷅an 醠lunk;Jsme ve v醠ce;;;;;;x,,,
