xxxx;;;;;;;;;;;;;;x
social_democrat_MAN;Éç»áÃñÖ÷µ³;Parti social d¨¦mocratique;Sozialdemokratische Partei;;Partido Socialdem¨®crata;;;;;;;;;;x
left_wing_radical_MAN;Éç»á¸ïÃüµ³;Parti social r¨¦volutionnaire;Soziale Revolutionspartei;;Partido Social Revolucionario;;;;;;;;;;x
leninist_MAN;Éç»áÖ÷Òå¹¤ÈËµ³;Parti des travailleurs socialistes;Sozialistische Arbeiterpartei;;Partido de los Trabajadores Socialistas;;;;;;;;;;x
stalinist_MAN;ÂúÖŞ¹²²úµ³;Parti socialiste du Manchukuo;Kommunistische Partei der Mandschurei;;Partido Comunista de Manchukuo;;;;;;;;;;x
national_socialist_MEN;¹úÉçµ³;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_MEN;·¨Î÷Ë¹µ³;Parti fasciste;Faschistische Partei;;Partido Fascista;;;;;;;;;;x
paternal_autocrat_MEN;·ºÃÉ¹ÅÔË¶¯;Mouvement pan-mongolien;Panmongolische Bewegung;;Movimiento Panmongol;;;;;;;;;;x
social_conservative_MEN;±£ÊØµ³;Parti conservateur;Konservative Partei;;Partido Conservador;;;;;;;;;;x
market_liberal_MEN;×ÔÓÉÁªÃË;Union lib¨¦rale;Liberale Union;;Uni¨®n Liberal;;;;;;;;;;x
social_liberal_MEN;Éç»á×ÔÓÉµ³;Parti social lib¨¦ral;Sozialliberale Partei;;Partido Social Liberal;;;;;;;;;;x
social_democrat_MEN;Éç»áÃñÖ÷µ³;Parti social d¨¦mocratique;Sozialdemokratische Partei;;Partido Socialdem¨®crata;;;;;;;;;;x
left_wing_radical_MEN;Éç»á¸ïÃüµ³;Parti social r¨¦volutionnaire;Soziale Revolutionspartei;;Partido Social Revolucionario;;;;;;;;;;x
leninist_MEN;Éç»á¹¤ÈËµ³;Parti des travailleurs socialistes;Sozialistische Arbeiterpartei;;Partido de los Trabajadores Socialistas;;;;;;;;;;x
stalinist_MEN;ÃÉ¹Å¹ú¹²²úµ³;Parti communiste du Mengkukuo;Kommunistische Partei Mengkukuo;;Partido Comunista de Mengkukuo;;;;;;;;;;x
national_socialist_MEX;¹ú¼ÒÉç»áÖ÷ÒåÔË¶¯;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_MEX;¹ú¼Ò¹²ÖÎÁªÃË;Uni¨®n Nacional Sinarquista;Uni¨®n Nacional Sinarquista;;Uni¨®n Nacional Sinarquista;;;;;;;;;;x
paternal_autocrat_MEX;¹ú¼Ò¸ïÃüµ³;Partido Nacional Revolucionario;Partido Nacional Revolucionario;;Partido Nacional Revolucionario;;;;;;;;;;x
social_conservative_MEX;´óÖÚÁ¦Á¿µ³;Partido Fuerza Popular;Partido Fuerza Popular;;Partido Fuerza Popular;;;;;;;;;;x
market_liberal_MEX;Ä«Î÷¸ç×ÔÓÉµ³;Partido Liberal de Mexico;Partido Liberal de Mexico;;Partido Liberal de M¨¦xico;;;;;;;;;;x
social_liberal_MEX;¸ïÃüÖÆ¶Èµ³;Partido Revolucionario Institucional;Partido Revolucionario Institucional;;Partido Revolucionario Institucional;;;;;;;;;;x
social_democrat_MEX;Ä«Î÷¸ç¹¤ÈËµ³;Partido Mexicano de los Trabajadores;Partido Mexicano de los Trabajadores;;Partido Mexicano de los Trabajadores;;;;;;;;;;x
left_wing_radical_MEX;Éç»á¹¤ÈËµ³;Partido Socialista Obrero;Partido Socialista Obrero;;Partido Socialista Obrero;;;;;;;;;;x
leninist_MEX;Ä«Î÷¸ç¹²²úÖ÷ÒåÕßµ³;Partido de los Comunistas Mexicanos;Partido de los Comunistas Mexicanos;;Partido de los Comunistas Mexicanos;;;;;;;;;;x
stalinist_MEX;Ä«Î÷¸ç¹²²úµ³;Partido Comunista Mexicano;Partido Comunista Mexicano;;Partido Comunista Mexicano;;;;;;;;;;x
national_socialist_MON;¹úÉçµ³;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_MON;·¨Î÷Ë¹Ö÷ÒåÕóÏß;Front fasciste;Faschistische Front;;Frente Fascista;;;;;;;;;;x
paternal_autocrat_MON;·ºÃÉ¹ÅÔË¶¯;Mouvement pan-mongolien;Panmongolische Bewegung;;Movimiento Panmongol;;;;;;;;;;x
social_conservative_MON;±£ÊØµ³;Parti conservateur;Konservative Partei;;Partido Conservador;;;;;;;;;;x
market_liberal_MON;×ÔÓÉÁªÃË;Union lib¨¦rale;Liberale Union;;Uni¨®n Liberal;;;;;;;;;;x
social_liberal_MON;Éç»á×ÔÓÉµ³;Parti social lib¨¦ral;Sozialliberale Partei;;Partido Social Liberal;;;;;;;;;;x
social_democrat_MON;Éç»áÃñÖ÷µ³;Parti social d¨¦mocratique;Sozialdemokratische Partei;;Partido Socialdem¨®crata;;;;;;;;;;x
left_wing_radical_MON;×æ¹úµ³;Parti de la m¨¨re patrie;Mutterlandspartei;;Partido de la Madre Patria;;;;;;;;;;x
leninist_MON;Éç»áÖ÷Òå¹¤µ³;Parti des travaux socialistes;Sozialistische Arbeiterpartei;;Partido Socialista del Trabajo;;;;;;;;;;x
stalinist_MON;ÃÉ¹ÅÈËÃñ¸ïÃüµ³;MPRP;MPRP;;MPRP;;;;;;;;;;x
national_socialist_NEP;Äá²´¶û¹úÉçµ³;Parti national socialiste n¨¦palais;Nationalsozialistische Partei Nepals;;Partido Nacionalsocialista Nepal¨ª;;;;;;;;;;x
fascistic_NEP;Nepali·¨Î÷Ë¹Ö÷ÒåÕóÏß;Front fasciste n¨¦palais;Faschistische Front Nepals;;Frente Fascista Nepal¨ª;;;;;;;;;;x
paternal_autocrat_NEP;¹ú¼ÒÃñÖ÷µ³;Parti national d¨¦mocratique n¨¦palais;Nationaldemokratische Partei;;Partido Nacional Dem¨®crata;;;;;;;;;;x
social_conservative_NEP;Äá²´¶û±£ÊØµ³;Parti conservateur n¨¦palais;Konservative Partei Nepals;;Partido Conservador de Nepal;;;;;;;;;;x
market_liberal_NEP;Äá²´¶ûÃñ×åÃñÖ÷µ³;Parti Rastriya Janashaki;Rastriya Janashakti-Partei;;Partido Rastriya Janashakti;;;;;;;;;;x
social_liberal_NEP;Äá²´¶ûÇ×ÉÆµ³;Parti Sadbhawana n¨¦palais;Nepal Sadbhawana-Partei;;Partido Nepal Sadbhawana;;;;;;;;;;x
social_democrat_NEP;Äá²´¶ûÒé»áµ³;Parti du Congr¨¨s n¨¦palais;Nepalesische Kongresspartei;;Partido del Congreso Nepal¨ª;;;;;;;;;;x
left_wing_radical_NEP;Äá²´¶û¹¤Å©µ³;Parti n¨¦palais des travailleurs et des paysans;Nepalesische Arbeiter- und Bauernpartei;;Partido de los Trabajadores y los Campesinos de Nepal;;;;;;;;;;x
leninist_NEP;Äá²´¶û¹²²úµ³(ÁªºÏÂíÁĞ);CPN-UML;KPN-UML;;CPN-UML;;;;;;;;;;x
stalinist_NEP;Äá²´¶û¹²²úµ³;Parti communiste n¨¦palais;Kommunistische Partei Nepal;;Partido Comunista de Nepal;;;;;;;;;;x
national_socialist_NIC;¹ú¼ÒÉç»áÖ÷ÒåÔË¶¯;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_NIC;Äá¼ÓÀ­¹Ï³¤Ç¹µ³;Falange de Nicaragua;Falange de Nicaragua;;Falange de Nicaragua;;;;;;;;;;x
paternal_autocrat_NIC;¹ú¼Ò»¤ÎÀµ³;Guardia Nacional;Guardia Nacional;;Guardia Nacional;;;;;;;;;;x
social_conservative_NIC;±£ÊØµ³;Partido Conservador;Partido Conservador;;Partido Conservador;;;;;;;;;;x
market_liberal_NIC;ÃñÖ÷µ³;Partido Democr¨¢tico;Partido Democr¨¢tico;;Partido Democr¨¢tico;;;;;;;;;;x
social_liberal_NIC;Á¢ÏÜ×ÔÓÉµ³;Partido Liberal Constitucionalista;Partido Liberal Constitucionalista;;Partido Liberal Constitucionalista;;;;;;;;;;x
social_democrat_NIC;Äá¼ÓÀ­¹ÏÉç»áµ³;Partido Socialista Nicarag¨¹ense;Partido Socialista Nicarag¨¹ense;;Partido Socialista Nicarag¨¹ense;;;;;;;;;;x
left_wing_radical_NIC;¹¤ÈËÉç»áµ³;Partido Obrero Socialista;Partido Obrero Socialista;;Partido Obrero Socialista;;;;;;;;;;x
leninist_NIC;É£µØÅµÃñ×å½â·ÅÕóÏß;Frente Sandinista de Liberaci¨®n Nacional;Frente Sandinista de Liberaci¨®n Nacional;;Frente Sandinista de Liberaci¨®n Nacional;;;;;;;;;;x
stalinist_NIC;Äá¼ÓÀ­¹Ï¹²²úµ³;Partido Comunista de Nicaragua;Partido Comunista de Nicaragua;;Partido Comunista de Nicaragua;;;;;;;;;;x
national_socialist_NOR;Ãñ×åÍ³Ò»µ³;Nasjonal Samling;Nasjonal Samling;;Nasjonal Samling;;;;;;;;;;x
fascistic_NOR;Ï£¶ûµÇ;Hirden;Hirden;;Hirden;;;;;;;;;;x
paternal_autocrat_NOR;Ãñ×åµ³;Nasjonalpartiet;Nasjonalpartiet;;Nasjonalpartiet;;;;;;;;;;x
social_conservative_NOR;»ù¶½½ÌÈËÃñµ³;Kristelig Folkeparti;Kristelig Folkeparti;;Kristelig Folkeparti;;;;;;;;;;x
market_liberal_NOR;±£ÊØµ³;H?yre;H?yre;;H?yre;;;;;;;;;;x
social_liberal_NOR;×ÔÓÉµ³;Venstre;Venstre;;Venstre;;;;;;;;;;x
social_democrat_NOR;¹¤µ³;Arbeiderpartiet;Arbeiderpartiet;;Arbeiderpartiet;;;;;;;;;;x
left_wing_radical_NOR;NSA;NSA;NSA;;NSA;;;;;;;;;;x
leninist_NOR;Ä¦ÌØ´ï¸ñ;Mot Dag;Mot Dag;;Mot Dag;;;;;;;;;;x
stalinist_NOR;Å²Íş¹²²úµ³;NKP;NKP;;NKP;;;;;;;;;;x¡§
national_socialist_NZL;¹úÉçµ³;Parti national socialiste;National Éç»áµ³;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_NZL;ÁªºÏÃñ×åÕóÏß;Front national uni;United National Front;;Frente Nacional Unido;;;;;;;;;;x
paternal_autocrat_NZL;ÈËÃñÔË¶¯;Mouvement du peuple;People's Movement;;Movimiento del Pueblo;;;;;;;;;;x
social_conservative_NZL;Ãñ×åµ³;Parti national;National Party;;Partido Nacional;;;;;;;;;;x
market_liberal_NZL;ÁªºÏµ³;Parti uni;United Party;;Partido Unido;;;;;;;;;;x
social_liberal_NZL;¸Ä¸ïµ³;Parti r¨¦formiste;¸Ä¸ïµ³;;Partido Reformista;;;;;;;;;;x
social_democrat_NZL;¹¤µ³;Parti travailliste;Labour Party;;Partido Laborista;;;;;;;;;;x
left_wing_radical_NZL;Éç»áµ³;Parti socialiste;Éç»áµ³;;Partido Socialista;;;;;;;;;;x
leninist_NZL;Éç»áÃñÖ÷µ³;Parti social d¨¦mocratique;Social Democratic Party;;Partido Socialdem¨®crata;;;;;;;;;;x
stalinist_NZL;ĞÂÎ÷À¼¹²²úµ³;CPNZ;CPNZ;;CPNZ;;;;;;;;;;x
national_socialist_OMN;°¢À­²®¹úÉçµ³;Parti national socialiste arabe;Nationalsozialistische Partei Arabiens;;Partido Nacionalsocialista ¨¢rabe;;;;;;;;;;x
fascistic_OMN;°¢À­²®·¨Î÷Ë¹Ö÷ÒåÕóÏß;Front fasciste arabe;Faschistische Front Arabiens;;Frente Fascista ¨¢rabe;;;;;;;;;;x
paternal_autocrat_OMN;Ãñ×åµ³;Parti national;Nationalpartei;;Partido Nacional;;;;;;;;;;x
social_conservative_OMN;ÄÂË¹ÁÖĞÖµÜ»á;Fr¨¨res musulmans;Muslimische Bruderschaft;;Hermanos Musulmanes;;;;;;;;;;x
market_liberal_OMN;¸Ä¸ïµ³;Parti r¨¦formiste;Reform-Partei;;Partido Reformista;;;;;;;;;;x
social_liberal_OMN;°¢À­²®ÃñÖ÷ÁªÃËµ³ ;Parti unioniste d¨¦mocratique arabe;Demokratische Einheitspartei Arabiens;;Partido ¨¢rabe Unionista Democr¨¢tico ;;;;;;;;;;x
social_democrat_OMN;°¢À­²®Éç»áÖ÷ÒåÁªÃË;Union socialiste arabe;Sozialistische Union Arabiens;;Uni¨®n Socialista ¨¢rabe;;;;;;;;;;x
left_wing_radical_OMN;°¢À­²® Popular Party;Parti populaire arabe;Arabische Volkspartei;;Partido Popular ¨¢rabe;;;;;;;;;;x
leninist_OMN;¸´ĞËµ³;Parti Baas;Baath-Partei;;Partido Ba'ath;;;;;;;;;;x
stalinist_OMN;Ò²ÃÅ¹²²úµ³;Parti communiste d'Oman;Kommunistische Partei des Omans;;Partido Comunista de Om¨¢n;;;;;;;;;;x
national_socialist_PAK;¹úÉçµ³;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_PAK;°Í»ùË¹Ì¹·¨Î÷Ë¹ÕóÏß;Front fasciste pakistanais;Faschistische Front Pakistan;;Frente Fascista de Pakist¨¢n;;;;;;;;;;x
paternal_autocrat_PAK;ÒÁË¹À¼´ó»áµ³;Jamaat-e-Islami;Jamaat-e-Islami;;Jamaat-e-Islami;;;;;;;;;;x
social_conservative_PAK;ÄÂË¹ÁÖÁªÃË;Ligue musulmane;Muslimische Liga;;Liga Musulmana;;;;;;;;;;x
market_liberal_PAK;¹²ºÍµ³;Parti r¨¦publicain;Republikanische Partei;;Partido Republicano;;;;;;;;;;x
social_liberal_PAK;°Í»ùË¹Ì¹ÈËÃñµ³;Parti du peuple pakistanais;Pakistanische Volkspartei;;Partido del Pueblo Pakistan¨ª;;;;;;;;;;x
social_democrat_PAK;ÈËÃñÃñ×åµ³;Parti national Awami;Nationalpartei Awami;;Partido Nacional Awami;;;;;;;;;;x
left_wing_radical_PAK;¸ïÃüµ³;Parti r¨¦volutionnaire;Revolutionspartei;;Partido Revolucionario;;;;;;;;;;x
leninist_PAK;°Í»ùË¹Ì¹¹¤ÈËµ³;Parti des travailleurs pakistanais;Pakistanische Arbeiterpartei;;Partido de los Trabajadores de Pakist¨¢n;;;;;;;;;;x
stalinist_PAK;°Í»ùË¹Ì¹¹²²úµ³;Parti communiste pakistanais;Kommunistische Partei Pakistans;;Partido Comunista de Pakist¨¢n;;;;;;;;;;x
national_socialist_PAL;°¢À­²®¹úÉçµ³;Parti national socialiste arabe;Nationalsozialistische Partei Arabiens;;Partido Nacionalsocialista ¨¢rabe;;;;;;;;;;x
fascistic_PAL;°¢À­²®·¨Î÷Ë¹Ö÷ÒåÕóÏß;Front fasciste arabe;Faschistische Front Arabiens;;Frente Fascista ¨¢rabe;;;;;;;;;;x
paternal_autocrat_PAL;¹şÉ£Íõ×å;Les Hach¨¦mites;Die Hashemiten;;Los Hashemitas;;;;;;;;;;x
social_conservative_PAL;ÄÂË¹ÁÖĞÖµÜ»á;Fr¨¨res musulmans;Muslimische Bruderschaft;;Hermanos Musulmanes;;;;;;;;;;x
market_liberal_PAL;¸Ä¸ïµ³;Parti r¨¦formiste;Reform-Partei;;Partido Reformista;;;;;;;;;;x
social_liberal_PAL;°¢À­²®ÃñÖ÷ÁªÃËµ³;Parti unioniste d¨¦mocrate arabe;Demokratische Einheitspartei Arabiens;;Partido ¨¢rabe Unionista Democr¨¢tico;;;;;;;;;;x
social_democrat_PAL;°¢À­²®Éç»áÖ÷ÒåÁªÃË;Union socialiste arabe;Sozialistische Union Arabiens;;Uni¨®n Socialista ¨¢rabe;;;;;;;;;;x
left_wing_radical_PAL;ÒÁÀ­¿Ë¹¤ÈË¹²²úµ³;Parti communiste et des travailleurs;Kommunistische Arbeiterpartei;;Partido Comunista de los Trabajadores;;;;;;;;;;x
leninist_PAL;¸´ĞËµ³;Parti Baas;Baath-Partei;;Partido Ba'ath;;;;;;;;;;x
stalinist_PAL;°ÍÀÕË¹Ì¹¹²²úµ³;Parti communiste palestinien;Kommunistische Partei Pal?stinas;;Partido Comunista de Palestina;;;;;;;;;;x
national_socialist_PAN;¹ú¼ÒÉç»áÖ÷ÒåÔË¶¯;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_PAN;°ÍÄÃÂí³¤Ç¹µ³;Falange de Panam¨¢;Falange de Panam¨¢;;Falange de Panam¨¢;;;;;;;;;;x
paternal_autocrat_PAN;°ÍÄÃÂíÃñ×åµ³;Partido Nacional de Panam¨¢;Partido Nacional de Panam¨¢;;Partido Nacional de Panam¨¢;;;;;;;;;;x
social_conservative_PAN;±£ÊØµ³;Partido Conservador;Partido Conservador;;Partido Conservador;;;;;;;;;;x
market_liberal_PAN;Ãñ×å¹²ºÍ×ÔÓÉÔË¶¯;MOLIRENA;MOLIRENA;;MOLIRENA;;;;;;;;;;x
social_liberal_PAN;¸ïÃüµ³;Partido Revolucionario;Partido Revolucionario;;Partido Revolucionario;;;;;;;;;;x
social_democrat_PAN;ÃñÖ÷¸ïÃüµ³;Partido Revolucionario Democr¨¢tico;Partido Revolucionario Democr¨¢tico;;Partido Revolucionario Democr¨¢tico;;;;;;;;;;x
left_wing_radical_PAN;°ÍÄÃÂíÈËÃñµ³;Partido del Pueblo de Panam¨¢;Partido del Pueblo de Panam¨¢;;Partido del Pueblo de Panam¨¢;;;;;;;;;;x
leninist_PAN;Éç»áÖ÷Òå¹¤ÈËÕóÏß;Frente Obrero Socialista;Frente Obrero Socialista;;Frente Obrero Socialista;;;;;;;;;;x
stalinist_PAN;°ÍÄÃÂí¹²²úµ³;Partido Comunista de Panam¨¢;Partido Comunista de Panam¨¢;;Partido Comunista de Panam¨¢;;;;;;;;;;x
national_socialist_PAR;¹ú¼ÒÉç»áÖ÷ÒåÔË¶¯;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_PAR;°ÍÀ­¹ç³¤Ç¹µ³;Falange del Paraguayo;Falange del Paraguayo;;Falange del Paraguay;;;;;;;;;;x
paternal_autocrat_PAR;Ãñ×å¹²ºÍµ³,;Partido Colorado,;Partido Colorado,;;Partido Colorado;;;;;;;;;;x
social_conservative_PAR;±£ÊØµ³;Partido Conservador;Partido Conservador;;Partido Conservador;;;;;;;;;;x
market_liberal_PAR;×ÔÓÉµ³;Partido Liberal;Partido Liberal;;Partido Liberal;;;;;;;;;;x
social_liberal_PAR;¼¤½ø×ÔÓÉµ³;Partido Liberal Radical Aut¨¦ntico;Partido Liberal Radical Aut¨¦ntico;;Partido Liberal Radical Aut¨¦ntico;;;;;;;;;;x
social_democrat_PAR;Éç»áµ³;Partido Socialista;Partido Socialista;;Partido Socialista;;;;;;;;;;x
left_wing_radical_PAR;Éç»á¸ïÃüµ³;Partido Socialista Revolucionario;Partido Socialista Revolucionario;;Partido Socialista Revolucionario;;;;;;;;;;x
leninist_PAR;×ÔÓÉ×æ¹úµ³;Partido Patria Libre;Partido Patria Libre;;Partido Patria Libre;;;;;;;;;;x
stalinist_PAR;°ÍÀ­¹ç¹²²úµ³;Partido Comunista Paraguayo;Partido Comunista Paraguayo;;Partido Comunista Paraguayo;;;;;;;;;;x
national_socialist_PER;Goruh-e Intiqam;Goruh-e Intiqam;Goruh-e Intiqam;;Goruh-e Intiqam;;;;;;;;;;x
fascistic_PER;·ºÒÁÀÊÈËµ³;Hezb-e Pan-Iranist;Hezb-e Pan-Iranist;;Hezb-e Paniranista;;;;;;;;;;x
paternal_autocrat_PER;¾õĞÑµ³;Hezb-e Rastakhiz;Hezb-e Rastakhiz;;Hezb-e Rastakhiz;;;;;;;;;;x
social_conservative_PER;ÒÁÀÊµ³;Hezb-e Iran;Hezb-e Iran;;Hezb-e Ir¨¢n;;;;;;;;;;x
market_liberal_PER;ÒÁÀÊÃñ×åÕóÏß;Jebhe Milli Iran;Jebhe Milli Iran;;Jebhe Milli Ir¨¢n;;;;;;;;;;x
social_liberal_PER;ÄÂÉáÎ¬ÌØÒ®µ³;Hezb-e Musherevete-ye Iran;Hezb-e Musherevete-ye Iran;;Hezb-e Musherevete-ye Ir¨¢n;;;;;;;;;;x
social_democrat_PER;ÔúÃ·¿¨Ê²¹şµ³;Hezb-e Zahmetkashha Iran;Hezb-e Zahmetkashha Iran;;Hezb-e Zahmetkashha Ir¨¢n;;;;;;;;;;x
left_wing_radical_PER;ÒÁÀÊÈºÖÚµ³;Hezb-e Tudeh;Hezb-e Tudeh;;Hezb-e Tudeh;;;;;;;;;;x
leninist_PER;ÒÁÀÊ¹¤µ³;Hezb-e Kar-e Iran;Hezb-e Kar-e Iran;;Hezb-e Kar-e Ir¨¢n;;;;;;;;;;x
stalinist_PER;ÒÁÀÊ¹²²úµ³;Hezb-e Komunist Iran;Hezb-e Komunist Iran;;Hezb-e Komunist Ir¨¢n;;;;;;;;;;x
national_socialist_PHI;¼ÓÄÉÆÕµ³;Ganap Party;Ganap-Partei;;Partido Ganap;;;;;;;;;;x
fascistic_PHI;ÕæÀíµ³;Sakdalista;Sakdalista;;Sakdalista;;;;;;;;;;x
paternal_autocrat_PHI;ĞÂ·ÆÂÉ±ö·şÎñµ³;KALIBAPI;KALIBAPI;;KALIBAPI;;;;;;;;;;x
social_conservative_PHI;ĞÂÉç»áÔË¶¯µ³;Kilusang Bagong Lipunan;Kilusang Bagong Lipunan;;Kilusang Bagong Lipunan;;;;;;;;;;x
market_liberal_PHI;·ÆÂÉ±ö×ÔÓÉµ³;Partido Liberal ng Pilipinas;Partido Liberal ng Pilipinas;;Partido Liberal ng Pilipinas;;;;;;;;;;x
social_liberal_PHI;Ãñ×åµ³;Partido Nacionalista;Partido Nacionalista;;Partido Nacionalista;;;;;;;;;;x
social_democrat_PHI;ĞÂ°®¹úÖ÷ÒåÁªÃË;BAYAN;BAYAN;;BAYAN;;;;;;;;;;x
left_wing_radical_PHI;ÎåÒ»¹¤ÈËÔË¶¯;Kilusang Mayo Uno;Kilusang Mayo Uno;;Kilusang Mayo Uno;;;;;;;;;;x
leninist_PHI;·ÆÂÉ±ö¹²²úµ³-1930;PKP-1930;PKP-1930;;PKP-1930;;;;;;;;;;x
stalinist_PHI;·ÆÂÉ±ö¹²²úµ³;Partido Komunista ng Pilipinas;Partido Komunista ng Pilipinas;;Partido Komunista ng Pilipinas;;;;;;;;;;x
national_socialist_POL;µÂ¹úÈËĞ­»á;Deutsche Vereinigung;Deutsche Vereinigung;;Deutsche Vereinigung;;;;;;;;;;x
fascistic_POL;Ãñ×å¼¤½øÕóÓª;ONR;ONR;;ONR;;;;;;;;;;x
paternal_autocrat_POL;Ãñ×åÍ³Ò»ÕóÓª;OZN;OZN;;OZN;;;;;;;;;;x
social_conservative_POL;²¨À¼ÈËÃñµ³;PSL;PSL;;PSL;;;;;;;;;;x
market_liberal_POL;¹ú¼Ò¹«ÃñÁªÃË;ZLN;ZLN;;ZLN;;;;;;;;;;x
social_liberal_POL;²¨À¼»ù¶½½ÌÃñÖ÷µ³;PSChD;PSChD;;PSChD;;;;;;;;;;x
social_democrat_POL;²¨À¼Éç»áµ³;PPS;PPS;;PPS;;;;;;;;;;x
left_wing_radical_POL;²¨À¼Éç»áµ³-×óÒí;PPS-L;PPS-L;;PPS-L;;;;;;;;;;x
leninist_POL;NPR;NPR;NPR;;NPR;;;;;;;;;;x
stalinist_POL;¹²²úÖ÷Òå¹¤ÈËµ³;KPRP;KPRP;;KPRP;;;;;;;;;;x
national_socialist_POR;¹úÉçµ³;PNSP;PNSP;;PNSP;;;;;;;;;;x
fascistic_POR;MNS;MNS;MNS;;MNS;;;;;;;;;;x
paternal_autocrat_POR;Ãñ×åÁªÃË;Uni?o Nacional;Uni?o Nacional;;Uni?o Nacional;;;;;;;;;;x
social_conservative_POR;PNR;PNR;PNR;;PNR;;;;;;;;;;x
market_liberal_POR;ÃñÖ÷µ³;PD;PD;;PD;;;;;;;;;;x
social_liberal_POR;ÉçÃñµ³;PSD;PSD;;PSD;;;;;;;;;;x
social_democrat_POR;Éç»áµ³;PS;PS;;PS;;;;;;;;;;x
left_wing_radical_POR;PRP;PRP;PRP;;PRP;;;;;;;;;;x
leninist_POR;FMP;FMP;FMP;;FMP;;;;;;;;;;x
stalinist_POR;²¨À¼¹²²úµ³;PCP;PCP;;PCP;;;;;;;;;;x
national_socialist_PRK;¹úÉçµ³;Parti national socialiste ;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_PRK;·¨Î÷Ë¹Ö÷ÒåÕóÏß;Front fasciste;Faschistische Front;;Frente Fascista;;;;;;;;;;x
paternal_autocrat_PRK;ÃñÖ÷¹²ºÍµ³;Parti r¨¦publicain d¨¦mocratique;Demokratische Republikanerpartei;;Partido Democr¨¢tico Republicano;;;;;;;;;;x
social_conservative_PRK;ÃñÖ÷ÕıÒåµ³;Parti de la justice d¨¦mocratique;Demokratische Gerechtigkeitspartei;;Partido de la Justicia Democr¨¢tica;;;;;;;;;;x
market_liberal_PRK;×ÔÓÉµ³;Parti lib¨¦ral ;Liberale Partei;;Partido Liberal;;;;;;;;;;x
social_liberal_PRK;ÃñÖ÷µ³;Parti d¨¦mocratique ;Demokratische Partei;;Partido Dem¨®crata;;;;;;;;;;x
social_democrat_PRK;ÃñÖ÷ÀÍ¶¯µ³;Parti travailliste d¨¦mocratique;Demokratische Arbeiterpartei;;Partido Dem¨®crata Laborista;;;;;;;;;;x
left_wing_radical_PRK;³¯ÏÊÈËÃñµ³;Parti du peuple cor¨¦en;Koreanische Volkspartei;;Partido del Pueblo de Corea;;;;;;;;;;x
leninist_PRK;³¯ÏÊ¹²²úµ³;Parti communiste cor¨¦en;Kommunistische Partei Koreas;;Partido Comunista de Corea;;;;;;;;;;x
stalinist_PRK;³¯ÏÊ¹¤ÈËµ³;Parti des travailleurs cor¨¦ens;Koreanische Arbeiterpartei;;Partido de los Trabajadores de Corea;;;;;;;;;;x
national_socialist_PRU;¹ú¼ÒÉç»áÖ÷ÒåÔË¶¯;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_PRU;ÃØÂ³³¤Ç¹µ³;Falange del Per¨²;Falange del Per¨²;;Falange del Per¨²;;;;;;;;;;x
paternal_autocrat_PRU;¹«Ãñµ³;Partido Civil;Partido Civil;;Partido Civil;;;;;;;;;;x
social_conservative_PRU;ÈËÃñĞĞ¶¯µ³;Acci¨®n Popular;Acci¨®n Popular;;Acci¨®n Popular;;;;;;;;;;x
market_liberal_PRU;ÃØÂ³×ÔÓÉµ³;Partido Liberal del Per¨²;Partido Liberal del Per¨²;;Partido Liberal del Per¨²;;;;;;;;;;x
social_liberal_PRU;ÃÀÖŞÈË¸ïÃüÁªÃË;Alianza Popular Revolucionaria Americana;Alianza Popular Revolucionaria Americana;;Alianza Popular Revolucionaria Americana;;;;;;;;;;x
social_democrat_PRU;ÃØÂ³Éç»áµ³;Partido Socialista del Per¨²;Partido Socialista del Per¨²;;Partido Socialista del Per¨²;;;;;;;;;;x
left_wing_radical_PRU;¹¤ÈË¸ïÃüµ³;Partido Revolucionario de los Trabajadores;Partido Revolucionario de los Trabajadores;;Partido Revolucionario de los Trabajadores;;;;;;;;;;x
leninist_PRU;Âí¿ËË¼ÀÍ¶¯¼¯ÍÅ;Gruppo Marxista de los Trabajadores;Gruppo Marxista de los Trabajadores;;Gruppo Marxista de los Trabajadores;;;;;;;;;;x
stalinist_PRU;ÃØÂ³¹²²úµ³;Partido Comunista Peruano;Partido Comunista Peruano;;Partido Comunista Peruano;;;;;;;;;;x
national_socialist_ROM;PGR;PGR;PGR;;PGR;;;;;;;;;;x
